date,dem,state,agency
2014-02-25,51.4034429481823,AK,nyt
2014-02-26,51.3471853659139,AK,nyt
2014-02-27,51.4687838619794,AK,nyt
2014-02-28,51.4469709327122,AK,nyt
2014-03-01,51.3853467884274,AK,nyt
2014-03-02,51.6975096298789,AK,nyt
2014-03-03,51.6463114304471,AK,nyt
2014-03-04,51.6354650489984,AK,nyt
2014-03-05,51.6494772713764,AK,nyt
2014-03-06,51.9251521833842,AK,nyt
2014-03-07,51.981262293944,AK,nyt
2014-03-08,52.087698673561,AK,nyt
2014-03-09,52.0049216594292,AK,nyt
2014-03-10,52.2715530311116,AK,nyt
2014-03-11,52.4974449612202,AK,nyt
2014-03-12,52.5292760201857,AK,nyt
2014-03-13,52.7614835200181,AK,nyt
2014-03-14,52.5888907030217,AK,nyt
2014-03-15,52.5514771970539,AK,nyt
2014-03-16,52.6165366432095,AK,nyt
2014-03-17,52.699044920333,AK,nyt
2014-03-18,52.3863308559882,AK,nyt
2014-03-19,52.2921428830915,AK,nyt
2014-03-20,49.2544382339932,AK,nyt
2014-03-21,49.2751166469997,AK,nyt
2014-03-22,49.1320638548169,AK,nyt
2014-03-23,49.1664423330018,AK,nyt
2014-03-24,49.1419089784206,AK,nyt
2014-03-25,49.2591019653548,AK,nyt
2014-03-26,49.2839941168382,AK,nyt
2014-03-27,49.3304772613781,AK,nyt
2014-03-28,49.2859841873389,AK,nyt
2014-03-29,48.9471918757401,AK,nyt
2014-03-30,48.9691078478043,AK,nyt
2014-03-31,48.5981989277665,AK,nyt
2014-04-01,48.5878107228434,AK,nyt
2014-04-02,48.6417385585756,AK,nyt
2014-04-03,48.9896930439503,AK,nyt
2014-04-04,48.9447376159321,AK,nyt
2014-04-05,48.9435630574789,AK,nyt
2014-04-06,48.9487916435173,AK,nyt
2014-04-07,48.8452225303203,AK,nyt
2014-04-08,49.1607937585872,AK,nyt
2014-04-09,48.8352303230348,AK,nyt
2014-04-10,49.1267480643659,AK,nyt
2014-04-11,48.7671742618547,AK,nyt
2014-04-12,49.0902852552544,AK,nyt
2014-04-13,49.1304440507503,AK,nyt
2014-04-14,49.0664488801891,AK,nyt
2014-04-15,49.1308978648052,AK,nyt
2014-04-16,49.2361670368557,AK,nyt
2014-04-17,49.3235022682171,AK,nyt
2014-04-18,49.2533719270768,AK,nyt
2014-04-19,49.2549170797332,AK,nyt
2014-04-20,49.3502723350637,AK,nyt
2014-04-21,49.3113484147074,AK,nyt
2014-04-22,48.9828288936139,AK,nyt
2014-04-23,49.2833577550259,AK,nyt
2014-04-24,48.9770980464067,AK,nyt
2014-04-25,48.7203622618227,AK,nyt
2014-04-26,48.8539760346523,AK,nyt
2014-04-27,48.7725555131014,AK,nyt
2014-04-28,38.8992701009876,AK,nyt
2014-01-01,2.80795253085888e-09,AL,nyt
2014-01-02,2.80795253085886e-09,AL,nyt
2014-01-03,2.83304034656927e-09,AL,nyt
2014-01-04,2.70513633960523e-09,AL,nyt
2014-01-05,2.7131033860108e-09,AL,nyt
2014-01-06,3.01250067821377e-09,AL,nyt
2014-01-07,2.71548033195509e-09,AL,nyt
2014-01-08,2.59709480611616e-09,AL,nyt
2014-01-09,2.48509398597e-09,AL,nyt
2014-01-10,2.84589072245172e-09,AL,nyt
2014-01-11,2.80899993652484e-09,AL,nyt
2014-01-12,2.82851115755087e-09,AL,nyt
2014-01-13,2.78930942137575e-09,AL,nyt
2014-01-14,2.92047803323986e-09,AL,nyt
2014-01-15,2.89668517979675e-09,AL,nyt
2014-01-16,2.77215913354028e-09,AL,nyt
2014-01-17,2.75878515316073e-09,AL,nyt
2014-01-18,2.44295722301677e-09,AL,nyt
2014-01-19,2.3579475500636e-09,AL,nyt
2014-01-20,2.67091631513031e-09,AL,nyt
2014-01-21,2.98436863178468e-09,AL,nyt
2014-01-22,3.40981046811452e-09,AL,nyt
2014-01-23,3.66865517801958e-09,AL,nyt
2014-01-24,3.53570871780868e-09,AL,nyt
2014-01-25,3.36273423099156e-09,AL,nyt
2014-01-26,2.35089500124516e-09,AL,nyt
2014-01-27,2.21665017385792e-09,AL,nyt
2014-01-28,1.90527338484431e-09,AL,nyt
2014-01-29,2.25028270529787e-09,AL,nyt
2014-01-30,2.23424714669816e-09,AL,nyt
2014-01-31,1.58314082741529e-09,AL,nyt
2014-02-01,9.3125722645303e-10,AL,nyt
2014-02-02,8.89953018732163e-10,AL,nyt
2014-02-03,8.58103963322237e-10,AL,nyt
2014-02-04,8.81620331292179e-10,AL,nyt
2014-02-05,7.77225953768619e-10,AL,nyt
2014-02-06,7.63357815481381e-10,AL,nyt
2014-02-07,7.55070651656605e-10,AL,nyt
2014-02-08,7.56064545919179e-10,AL,nyt
2014-02-09,8.51220870638023e-10,AL,nyt
2014-02-10,8.77745405634544e-10,AL,nyt
2014-02-11,8.80619217787135e-10,AL,nyt
2014-02-12,9.34951620876364e-10,AL,nyt
2014-02-13,9.48892078187073e-10,AL,nyt
2014-02-14,9.86763087842168e-10,AL,nyt
2014-02-15,9.67726892355071e-10,AL,nyt
2014-02-16,9.66665240615734e-10,AL,nyt
2014-02-17,1.02294017624565e-09,AL,nyt
2014-02-18,1.02336742982674e-09,AL,nyt
2014-02-19,9.81560620338064e-10,AL,nyt
2014-02-20,1.03052213065168e-09,AL,nyt
2014-02-21,9.95915566449175e-10,AL,nyt
2014-02-22,9.95098775495133e-10,AL,nyt
2014-02-23,9.79435426813654e-10,AL,nyt
2014-02-24,9.6260247208162e-10,AL,nyt
2014-02-25,9.22057393778018e-10,AL,nyt
2014-02-26,8.13993129694582e-10,AL,nyt
2014-02-27,8.1992608180077e-10,AL,nyt
2014-02-28,7.67970505397217e-10,AL,nyt
2014-03-01,9.55312285019915e-10,AL,nyt
2014-03-02,7.8512312182745e-10,AL,nyt
2014-03-03,7.22994422334088e-10,AL,nyt
2014-03-04,7.10576465122851e-10,AL,nyt
2014-03-05,6.10184969644517e-10,AL,nyt
2014-03-06,6.42059062648073e-10,AL,nyt
2014-03-07,5.60824648387158e-10,AL,nyt
2014-03-08,5.5873501605403e-10,AL,nyt
2014-03-09,5.61709472872796e-10,AL,nyt
